imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0094675,Ariel,1988,72,NULL,NULL,7.4,9776,NULL,NULL
tt0092149,"Shadows in Paradise",1986,74,NULL,NULL,7.4,8654,NULL,NULL
tt0113101,"Four Rooms",1995,98,4000000,4257354,6.7,117001,3,1
tt0107286,"Judgment Night",1993,110,21000000,12136938,6.6,21100,NULL,NULL
tt0076759,"Star Wars: Episode IV - A New Hope",1977,121,11000000,775398007,8.6,1571048,1,0
tt0266543,"Finding Nemo",2003,100,94000000,940335536,8.2,1207959,1,0
tt0109830,"Forrest Gump",1994,142,55000000,677387716,8.8,2497615,1,0
tt0169547,"American Beauty",1999,122,15000000,356296601,8.3,1280163,3,NULL
tt0033467,"Citizen Kane",1941,119,839727,23218000,8.2,493946,1,0
tt0168629,"Dancer in the Dark",2000,135,12500000,40061153,7.9,124093,3,0
tt0411267,"The Dark",2005,93,NULL,6593579,5.3,11874,NULL,NULL
tt0119116,"The Fifth Element",1997,126,90000000,263920180,7.6,545283,1,0
tt0017136,Metropolis,1927,153,5300000,1350322,8.2,201371,1,0
tt0314412,"My Life Without Me",2003,106,2500000,12300000,7.4,26619,3,0
tt0060371,"The Endless Summer",1966,95,50000,NULL,7.6,6898,NULL,NULL
tt0325980,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,143,140000000,655011224,8.1,1325947,3,0
tt0266697,"Kill Bill: Vol. 1",2003,111,30000000,180906076,8.2,1308238,3,0
tt0418763,Jarhead,2005,125,72000000,97076152,7,224969,0,NULL
tt0352994,"Walk on Water",2004,103,1400000,444,7.3,7238,NULL,NULL
tt0411705,"9 Songs",2004,71,1000000,1574623,4.7,25501,0,0
tt0078788,"Apocalypse Now",1979,147,31500000,150000000,8.4,770502,0,0
tt0105695,Unforgiven,1992,130,14400000,159157447,8.2,469171,3,0
tt0462538,"The Simpsons Movie",2007,87,75000000,527068851,7.3,363531,3,0
tt0338013,"Eternal Sunshine of the Spotless Mind",2004,108,20000000,72258126,8.3,1183260,2,NULL
tt0245712,"Amores Perros",2000,154,2000000,20908467,8,272518,1,0
tt0383574,"Pirates of the Caribbean: Dead Man's Chest",2006,151,200000000,1066179747,7.4,826380,2,NULL
tt0399146,"A History of Violence",2005,96,32000000,61477797,7.4,272961,3,0
tt0062622,"2001: A Space Odyssey",1968,149,12000000,71923560,8.3,784032,0,0
tt0114746,"12 Monkeys",1995,129,29000000,168841459,8,680513,1,0
tt0287467,"Talk to Her",2002,112,6500000,64826117,7.9,121815,3,0
tt0298203,"8 Mile",2002,110,41000000,242875078,7.2,351731,1,0
tt0118548,"Absolute Power",1997,121,50000000,50100000,6.7,65038,NULL,NULL
tt0445620,"Paradise Now",2005,91,2000000,3395627,7.4,24883,1,0
tt0088846,Brazil,1985,132,15000000,9953708,7.8,222809,3,0
tt0358273,"Walk the Line",2005,136,28000000,186800000,7.8,280536,3,NULL
tt0405159,"Million Dollar Baby",2004,132,30000000,216763646,8.1,766294,3,0
tt0249462,"Billy Elliot",2000,110,5000000,109280263,7.7,152190,3,0
tt0120586,"American History X",1998,119,20000000,23900000,8.5,1273594,2,0
tt0407304,"War of the Worlds",2005,117,132000000,603873119,6.6,507316,3,0
tt0116996,"Mars Attacks!",1996,106,70000000,101371017,6.4,258605,3,0
tt0112471,"Before Sunrise",1995,101,2500000,5987386,8.1,377792,0,0
tt0209144,Memento,2000,113,9000000,40060108,8.4,1435661,1,0
tt0083658,"Blade Runner",1982,117,28000000,41722424,8.1,882464,1,NULL
tt0299977,Hero,2002,94,31000000,177394432,7.9,194330,3,1
tt0381681,"Before Sunset",2004,80,2700000,15992615,8.1,315372,0,0
tt0087544,"Nausicaä of the Valley of the Wind",1984,117,1000000,9016411,8,197225,3,0
tt0430357,"Miami Vice",2006,132,135000000,163800000,6.1,131184,1,0
tt0374102,"Open Water",2003,79,120000,54683487,5.8,59141,1,0
tt0082971,"Raiders of the Lost Ark",1981,115,18000000,389925971,8.4,1110672,3,NULL
tt0430051,"The Elementary Particles",2006,113,6000000,NULL,6.5,8466,NULL,NULL
tt0087469,"Indiana Jones and the Temple of Doom",1984,118,28000000,333000000,7.5,568229,0,0
tt0092890,"Dirty Dancing",1987,100,6000000,214577242,7.1,280147,3,NULL
tt0097576,"Indiana Jones and the Last Crusade",1989,127,48000000,474171806,8.2,864141,0,0
tt0086960,"Beverly Hills Cop",1984,105,14000000,316360478,7.4,232403,0,0
tt0169024,Megacities,1998,90,NULL,NULL,7.4,1077,NULL,NULL
tt0052561,"Anatomy of a Murder",1959,161,2000000,8000000,8,77883,1,0
tt0120591,Armageddon,1998,151,140000000,553799566,6.7,479563,1,0
tt0092644,"Beverly Hills Cop II",1987,103,28000000,299965036,6.6,148370,1,0
tt0084827,Tron,1982,96,17000000,33002371,6.7,146284,0,0
tt0172495,Gladiator,2000,155,103000000,465516248,8.5,1850525,0,0
tt0185125,"All About My Mother",1999,101,5000000,67958231,7.8,109731,3,NULL
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,107,1350000,28356188,8.1,650410,1,0
tt0110413,"Léon: The Professional",1994,110,16000000,45284974,8.5,1351426,3,0
tt0315543,"Open Hearts",2002,113,NULL,NULL,7.5,11670,NULL,NULL
tt0075314,"Taxi Driver",1976,114,1900000,28579636,8.2,1026952,1,0
tt0130827,"Run Lola Run",1998,80,1530000,7660911,7.6,218079,3,0
tt0088763,"Back to the Future",1985,116,19000000,381109762,8.5,1453767,2,NULL
tt0093773,Predator,1987,107,15000000,98267558,7.8,500998,0,0
tt0208092,Snatch,2000,102,100000000,83557872,8.2,977408,0,0
tt0108394,"Three Colors: Blue",1993,98,NULL,1527572,7.8,119157,3,0
tt0111507,"Three Colors: White",1994,92,NULL,1273525,7.6,85752,1,0
tt0111495,"Three Colors: Red",1994,99,NULL,4127033,8.1,117054,NULL,NULL
tt0086250,Scarface,1983,170,25000000,66023329,8.3,1016328,1,0
tt0243862,"Italian for Beginners",2000,112,1000000,16350876,7,14491,3,0
