tmdb_id,imdb_id,title_year,title,year,runtime_min,avg_rating,bechdel_rating,cluster
614696,tt10620868,#Alive (2020),#Alive,2020,98,6.3,Unknown,109
4204,tt1024733,$5 a Day (2008),$5 a Day,2008,98,6.3,Unknown,76
19311,tt0790799,$9.99 (2008),$9.99,2008,78,6.7,Unknown,28
252178,tt2614684,'71 (2014),'71,2014,99,7.2,Fail,31
72867,tt0424755,'Hellboy': The Seeds of Creation (2004),'Hellboy': The Seeds of Creation,2004,143,7.1,Unknown,42
14670,tt0090557,'Round Midnight (1986),'Round Midnight,1986,133,7.4,Unknown,65
32872,tt0118523,'Til There Was You (1997),'Til There Was You,1997,113,4.8,Unknown,89
34760,tt0090556,"'night, Mother (1986)","'night, Mother",1986,100,7.5,Pass,1
9805,tt0349047,(T)Raumschiff Surprise - Periode 1 (2004),(T)Raumschiff Surprise - Periode 1,2004,87,5.5,Unknown,128
45261,tt1132193,(Untitled) (2009),(Untitled),2009,96,6.2,Fail,132
11548,tt0092494,*batteries not included (1987),*batteries not included,1987,107,6.6,Unknown,91
176068,tt2395385,+1 (2013),+1,2013,96,5.5,Pass,40
30709,tt0081964,...All the Marbles (1981),...All the Marbles,1981,113,6.4,Unknown,40
8420,tt0049189,...And God Created Woman (1956),...And God Created Woman,1956,90,6.3,Pass,134
101230,tt0109001,1-900 (1994),1-900,1994,87,6.2,Unknown,100
9051,tt0078721,10 (1979),10,1979,122,6.2,Unknown,74
333371,tt1179933,10 Cloverfield Lane (2016),10 Cloverfield Lane,2016,103,7.2,Pass,127
2357,tt0499603,10 Items or Less (2006),10 Items or Less,2006,82,6.5,Unknown,1
26234,tt0066730,10 Rillington Place (1971),10 Rillington Place,1971,111,7.5,Fail,59
4951,tt0147800,10 Things I Hate About You (1999),10 Things I Hate About You,1999,97,7.4,Pass,81
58547,tt1715873,10 Years (2011),10 Years,2011,100,6.1,Unknown,8
18587,tt0085121,10 to Midnight (1983),10 to Midnight,1983,101,6.3,Unknown,40
7840,tt0443649,"10,000 BC (2008)","10,000 BC",2008,109,5.2,Fail,70
126757,tt2290065,100 Bloody Acres (2012),100 Bloody Acres,2012,91,6.0,Unknown,98
14098,tt0899128,100 Feet (2008),100 Feet,2008,96,5.4,Unknown,4
10035,tt0214388,100 Girls (2000),100 Girls,2000,94,5.8,Unknown,72
37308,tt0063970,100 Rifles (1969),100 Rifles,1969,110,6.0,Unknown,80
546630,tt8129794,100 Things (2018),100 Things,2018,111,6.3,Unknown,100
11674,tt0115433,101 Dalmatians (1996),101 Dalmatians,1996,103,5.8,Pass,145
10989,tt0237993,101 Reykjavík (2000),101 Reykjavík,2000,88,6.7,Unknown,99
10481,tt0211181,102 Dalmatians (2000),102 Dalmatians,2000,100,4.9,Pass,145
13197,tt0360323,10th & Wolf (2006),10th & Wolf,2006,107,6.2,Unknown,23
505177,tt6210996,10x10 (2018),10x10,2018,88,5.2,Unknown,40
51248,tt1712159,11-11-11 (2011),11-11-11,2011,90,3.9,Unknown,18
9282,tt0331811,11:14 (2003),11:14,2003,86,7.1,Unknown,112
20714,tt0488478,12 (2007),12,2007,159,7.5,Unknown,83
389,tt0050083,12 Angry Men (1957),12 Angry Men,1957,96,9.0,Fail,114
63,tt0114746,12 Monkeys (1995),12 Monkeys,1995,129,8.0,Fail,147
17134,tt1160368,12 Rounds (2009),12 Rounds,2009,108,5.6,Unknown,110
